SaleDateTime,DeliveryTimeStamp,InvoiceNumber,DeliveryRequired,AppliedOfferName,CustomerName,TaxAmount,ServeTimeStamp,BillingTimeStamp,PaymentType,DiscountAmount,OrderType,ServeStaffName,FranchiseName,TotalBillValue,CustomerLoyaltyNumber,DeliveryFees,FoodItemsPurchased,ChefStaffName,CustomerMobileNumber,ChefTimeStamp,CreditCardDetails,CouponName,FranchiseLocation,CarPlateNumber,DeliveryStaffName,CustomerEmail,BillingStaffName
22/01/2025 18:15,,828,Yes,20% Off,Mike Pineda,18.12,25:05.2,06/01/2025 17:46,Digital Wallet,25.65,Inhouse,Megan Vazquez,EtaBetaPi_21,333.51,LOY-4947,14.51,"Onion Rings, Mozzarella Sticks, Taco",Tracy Roberts,741-947-8656,55:05.3,,Coupon-123,Charlotte,,Patricia Moore,jeremycannon@example.com,Stephen Burns
04/01/2025 19:32,,829,Yes,,Brian Reynolds,17.13,38:46.3,19/01/2025 5:04,Credit Card,10.34,Drive Through,Anthony Turner,EtaBetaPi_21,353.26,LOY-5545,1.91,"Pasta, Fish Sandwich",Regina Clements,673-961-2286x942,48:24.2,**** **** **** 4824,Coupon-780,Indianapolis,3K 14110,Courtney Ward,tanyawise@example.com,Stephen Burns
27/01/2025 11:32,,830,No,,Catherine Berry,31.73,09:30.1,03/01/2025 18:33,Digital Wallet,22.09,Online,Rachel Martin,EtaBetaPi_29,88.08,LOY-5072,4.26,Milkshake,Richard Fernandez,(754)219-6592,01:50.6,**** **** **** 8450,Coupon-826,Indianapolis,,Dana Duncan,mosleyjamie@example.net,Nicholas Thomas
10/01/2025 23:31,43:31.5,831,No,Family Pack Offer,Brian Camacho,13.38,11:15.7,08/01/2025 21:09,Digital Wallet,2.58,Drive Through,Amy Howell,EtaBetaPi_20,93.03,,11.82,Fish Sandwich,Dan Shelton,7917096551,43:31.7,,,Baltimore,,Laurie Brown,udeleon@example.org,Anthony Turner
23/01/2025 17:01,33:37.8,832,No,,George Jones,8.5,06:43.1,15/01/2025 10:28,Digital Wallet,0.97,Online,Joseph Dennis,EtaBetaPi_29,399.46,LOY-6433,10.88,"Veggie Burger, Ice Cream, Chicken Nuggets, Taco",Joseph Dennis,5779867048,53:19.2,**** **** **** 3315,,Columbus,,Joseph Dennis,ocallahan@example.org,Rachel Martin
24/01/2025 18:16,,833,No,,Michelle Clark,38.29,33:51.7,29/01/2025 2:32,Credit Card,27.51,Uber Eats,Michelle Juarez,EtaBetaPi_20,355.51,LOY-5397,6.46,"Cheeseburger, Taco",Nathan Mcmahon,741-947-8656,23:40.4,**** **** **** 5658,,Indianapolis,85X•058,Jessica Smith,summersjonathan@example.org,Wendy Perkins
08/01/2025 6:21,,834,Yes,,Diane Mcclure,40.54,49:09.5,18/01/2025 11:46,Credit Card,8.36,Inhouse,Stephen Burns,EtaBetaPi_28,46.2,,10.89,"Pasta, Coke, Mozzarella Sticks, Onion Rings",Joseph Dennis,+1-783-729-9029x4817,45:31.2,,,Columbus,7EYK 31,Paul Stephens,kenneth24@example.com,Kristen Fletcher
28/01/2025 11:18,34:02.5,835,No,20% Off,Christine Smith,17.08,35:51.9,27/01/2025 1:36,Cash,2.7,Drive Through,Jason Hutchinson,EtaBetaPi_22,452.22,LOY-2178,0.21,Chicken Sandwich,Sandra Wilson,4959889205,06:25.1,,,Charlotte,85FH9,Sarah Hamilton,ashleyhall@example.com,Courtney Ward
08/01/2025 19:03,,836,Yes,Buy 1 Get 1 Free,Kerry Cooke,21.58,21:39.8,18/01/2025 17:58,Digital Wallet,28.96,Online,Nicholas Thomas,EtaBetaPi_20,101.28,LOY-9585,12.04,Chicken Nuggets,Sandra Wilson,(431)324-2260,22:31.0,,Coupon-186,Columbus,,Travis Lee,kevin75@example.com,Stephen Burns
10/01/2025 2:09,,837,No,Buy 1 Get 1 Free,Diana Nichols,17.5,49:53.5,05/01/2025 2:57,Digital Wallet,22.58,Uber Eats,Wendy Perkins,EtaBetaPi_24,303.86,LOY-5223,11.33,"Salad, Pasta",Amber Beck,534.588.6020x3656,38:31.7,,,Columbus,HRB 977,Regina Clements,littlebenjamin@example.org,Jason Hutchinson
10/01/2025 10:58,27:22.4,838,No,Buy 1 Get 1 Free,Michael Torres,5.85,42:23.2,18/01/2025 10:56,Digital Wallet,11.04,Drive Through,Jessica Smith,EtaBetaPi_26,384.92,LOY-7234,1.52,Ice Cream,Richard Fernandez,771.879.7486x15530,26:05.2,**** **** **** 3731,Coupon-886,Columbus,089 MIM,Dana Duncan,steven10@example.net,Samantha Foster
13/01/2025 3:54,42:58.7,839,No,Buy 1 Get 1 Free,Jessica Miller,27.93,57:14.7,20/01/2025 21:32,Cash,14.79,Drive Through,Jason Hutchinson,EtaBetaPi_24,291.81,,17.41,"Fish Sandwich, Mozzarella Sticks",Eric Gamble,(784)407-8114x53149,56:47.7,,Coupon-272,Columbus,59O 878,Shane Acosta,hallmathew@example.net,Bryan Green
12/01/2025 23:42,,840,No,Buy 1 Get 1 Free,Russell Gamble,3.07,51:45.0,12/01/2025 8:23,Credit Card,3.71,Drive Through,Devin Christensen,EtaBetaPi_28,401.28,,5.71,"Coke, Burrito",Jason Hutchinson,+1-244-578-7418x4099,07:09.5,**** **** **** 3709,,Columbus,,Kristen Fletcher,kmarshall@example.com,Wendy Perkins
07/01/2025 1:53,00:24.9,841,Yes,20% Off,Ana Harris,23.63,26:47.8,13/01/2025 22:06,Credit Card,13.48,Inhouse,Megan Vazquez,EtaBetaPi_28,346.23,LOY-4473,18.3,"Milkshake, Chicken Sandwich, Chicken Nuggets",Wendy Perkins,611-448-9660,46:07.3,**** **** **** 9965,Coupon-226,Columbus,T13-GTW,Jason Hutchinson,gclayton@example.com,Brenda Baird
